kingdom,phylum,class,order,family,genus,species,subspecies,family common name,species author,species source,species common name,subspecies author,subspecies source,subspecies common name
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,roraimensis,,,(Domin) Domin,https://www.catalogueoflife.org/data/taxon/32Q93,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,punctata,,,R. C. Moran & B. Øllg.,https://www.catalogueoflife.org/data/taxon/32Q7J,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,rojasiana,,,Lehnert,https://www.catalogueoflife.org/data/taxon/32Q8Z,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,rodriguezii,,,Lehnert & F. Giraldo,https://www.catalogueoflife.org/data/taxon/32Q8Y,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,rocioae,,,A. Tejedor & G. Calat.,https://www.catalogueoflife.org/data/taxon/32Q8X,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,robertsiana,,,(F. Muell.) Domin,https://www.catalogueoflife.org/data/taxon/32Q8T,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,retanae,,,A. Rojas,https://www.catalogueoflife.org/data/taxon/32Q8J,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,rengifoi,,,"Lehnert, F. Giraldo & A. Tejedor",https://www.catalogueoflife.org/data/taxon/32Q8H,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,pungens,,,(Willd.) Domin,https://www.catalogueoflife.org/data/taxon/32Q7M,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,calolepis,,,(Hook.) Domin,https://www.catalogueoflife.org/data/taxon/32QHM,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,juergensenii,,,E. Fourn.,https://www.catalogueoflife.org/data/taxon/32QHP,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,phalaenolepis,,,(C. Chr.) Domin Domin,https://www.catalogueoflife.org/data/taxon/32Q5C,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,thysanolepis,,,(Barrington) A. R. Sm.,https://www.catalogueoflife.org/data/taxon/6C4S3,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,chimaera,,,Lehnert & A. Tejedor,https://www.catalogueoflife.org/data/taxon/6C52Y,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,brunnescens,,,(Barrington) R. C. Moran,https://www.catalogueoflife.org/data/taxon/6C52X,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,austroamericana,,,Domin,https://www.catalogueoflife.org/data/taxon/6C52S,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,decomposita,,,(H. Karst.) Domin,https://www.catalogueoflife.org/data/taxon/6C52K,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,corcovadensis,,,(Raddi) Domin,https://www.catalogueoflife.org/data/taxon/6C52J,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,smithiana,,,A. Rojas,https://www.catalogueoflife.org/data/taxon/6C4TC,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,pacis,,,"F. Giraldo, W. Rodríguez & A. Tejedor",https://www.catalogueoflife.org/data/taxon/6C4S6,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,tatei,,,"S. Maciel, R. Y. Hirai & J. Prado",https://www.catalogueoflife.org/data/taxon/6C4S2,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,acantha,,,(Sehnem) Lehnert,https://www.catalogueoflife.org/data/taxon/6C53D,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,mutica,,,(Christ) Domin,https://www.catalogueoflife.org/data/taxon/6C4RT,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,setchellii,,,Copel.,https://www.catalogueoflife.org/data/taxon/6C4RN,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,aemula,,,Lehnert,https://www.catalogueoflife.org/data/taxon/6C4RH,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,aterrima,,,(Hook.) Domin,https://www.catalogueoflife.org/data/taxon/6C4R4,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,alata,,,(E. Fourn.) Copel.,https://www.catalogueoflife.org/data/taxon/6C4QZ,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,carolihenrici,,,Lehnert,https://www.catalogueoflife.org/data/taxon/6C4QY,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,bicrenata,,,Liebm.,https://www.catalogueoflife.org/data/taxon/6C4QW,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,alatissima,,,(Stolze) Lehnert,https://www.catalogueoflife.org/data/taxon/6C52Z,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,affinis,,,(G. Forst.) Sw.,https://www.catalogueoflife.org/data/taxon/6C53J,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,alfonsiana,,,L. D. Gómez,https://www.catalogueoflife.org/data/taxon/6C4QR,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,ruttenbergiae,,,A. Tejedor & F. Areces,https://www.catalogueoflife.org/data/taxon/7VJSP,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,tungurahuae,,,Sodiro,https://www.catalogueoflife.org/data/taxon/8L4CP,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,meridensis,,,H. Karst.,https://www.catalogueoflife.org/data/taxon/8L4CK,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,lockwoodiana,,,(P. G. Windisch) Lellinger,https://www.catalogueoflife.org/data/taxon/8L4CJ,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,frondosa,,,H. Karst.,https://www.catalogueoflife.org/data/taxon/8L4C9,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,crenata,,,(Sodiro) Christ,https://www.catalogueoflife.org/data/taxon/8L4C8,Cyathea,,,
